source_url,inlinks,recommended_action,target_url,notes
https://theccpress.com/bitmine-reports-9-6b-in-crypto-assets-as-of-june-8-2026/,3,pending_301,https://theccpress.com/bitmine-reports-9-6-billion-crypto-assets-strategic-investments-june-8-2026/,clear slug variant of same article
https://theccpress.com/canada-revokes-registrations-of-23-crypto-firms-in-major-regulatory-crackdown/,3,pending_301,https://theccpress.com/canada-revokes-registrations-23-crypto-firms/,clear slug variant of same article
https://theccpress.com/certik-ceo-defi-ai-attacks-are-an-unfair-game/,3,pending_301,https://theccpress.com/certik-ceo-defi-ai-attacks-unfair-game/,clear slug variant of same article
https://theccpress.com/cme-group-plans-nasdaq-crypto-futures-index-for-major-cryptocurrencies/,3,pending_301,https://theccpress.com/cme-group-plans-nasdaq-crypto-futures-index-major-cryptocurrencies/,clear slug variant of same article
https://theccpress.com/colombian-president-clean-energy-bitcoin-mining-venezuela/,3,pending_301,https://theccpress.com/colombian-president-bitcoin-mining-venezuela-investment/,target now verifies live 200
https://theccpress.com/crypto-hacker-mints-1-1b-in-polkadot-cashes-out-237k/,3,pending_301,https://theccpress.com/crypto-hacker-mints-1-1b-polkadot-ethereum-bridge-cashes-out-237k/,target now verifies live 200
https://theccpress.com/defi-development-corp-sol-per-share-up-108-yoy/,3,pending_301,https://theccpress.com/defi-development-corp-sol-per-share-up-108-percent-yoy/,target now verifies live 200
https://theccpress.com/grayscale-canton-coin-etf-filing-explained/,3,pending_301,https://theccpress.com/grayscale-files-for-canton-coin-etf/,clear slug variant of same article
https://theccpress.com/house-oversight-chair-probes-kalshi-polymarket-insider-trading-claims/,3,pending_301,https://theccpress.com/house-oversight-chair-probe-kalshi-polymarket-insider-trading/,clear slug variant of same article
https://theccpress.com/hyperliquid-review-2026-the-on-chain-perp-dex-trying-to-replace-cex-execution/,3,pending_301,https://theccpress.com/hyperliquid-review-on-chain-perp-dex/,same review title with shorter slug
https://theccpress.com/markets-price-fed-rate-hold-through-2026-first-cut-now-expected-in-september/,3,pending_301,https://theccpress.com/fed-rate-hold-2026-first-cut-september/,clear slug variant of same article
https://theccpress.com/mastercard-expands-stablecoin-settlement-support-with-usdc-rlusd-pyusd-and-usdg/,3,pending_301,https://theccpress.com/mastercard-expands-stablecoin-settlement-support-usdc-rlusd-pyusd-usdg/,clear slug variant of same article
https://theccpress.com/mubadala-reveals-566m-bitcoin-etf-holdings/,3,pending_301,https://theccpress.com/mubadala-discloses-566m-bitcoin-etf-holdings/,clear slug variant of same article
https://theccpress.com/new-york-court-sets-july-14-hearing-in-226b-bitcoin-ownership-lawsuit/,3,pending_301,https://theccpress.com/new-york-court-july-14-hearing-226-billion-bitcoin-ownership-lawsuit/,clear slug variant of same article
https://theccpress.com/opinion-warren-warns-meta-stablecoin-deal-could-hurt-competition/,3,pending_301,https://theccpress.com/opinion-elizabeth-warren-meta-stablecoin-partnership-competition/,clear slug variant of same article
https://theccpress.com/polymarket-faces-scrutiny-after-reported-exploit/,3,pending_301,https://theccpress.com/polymarket-faces-scrutiny-reported-exploit/,clear slug variant of same article
https://theccpress.com/polymarket-records-first-monthly-trading-volume-decline-in-eight-months/,3,pending_301,https://theccpress.com/polymarket-first-monthly-trading-volume-decline-eight-months/,clear slug variant of same article
https://theccpress.com/report-cme-group-to-launch-nasdaq-cme-crypto-index-futures/,3,pending_301,https://theccpress.com/cme-group-nasdaq-cme-crypto-index-futures-report/,clear slug variant of same article
https://theccpress.com/report-us-senate-confirms-kevin-warsh-as-federal-reserve-governor/,3,pending_301,https://theccpress.com/us-senate-confirms-kevin-warsh-federal-reserve-governor-report/,clear slug variant of same article
https://theccpress.com/sec-clears-key-hurdle-for-grayscales-hyperliquid-staking-etf/,3,pending_301,https://theccpress.com/sec-clears-key-regulatory-hurdle-for-grayscales-hyperliquid-staking-etf/,clear slug variant of same article
https://theccpress.com/sol-price-forecast-kalshi-traders-see-57-low-this-month/,3,pending_301,https://theccpress.com/sol-price-forecast-kalshi-traders-57-low-this-month/,clear slug variant of same article
https://theccpress.com/solana-etfs-drew-106m-in-may-led-by-bsol/,3,pending_301,https://theccpress.com/solana-etfs-drew-about-106-million-in-net-inflows-in-may-led-by-bsol/,clear slug variant of same article
https://theccpress.com/south-korea-crypto-tax-petition-reaches-50000-moves-to-committee/,3,pending_301,https://theccpress.com/south-korea-crypto-tax-petition-hits-50000-moves-to-committee/,clear slug variant of same article
https://theccpress.com/south-korea-reviews-plan-to-scrap-22-crypto-tax-after-petition/,3,pending_301,https://theccpress.com/south-korea-review-proposal-eliminate-22-percent-crypto-tax-public-petition/,clear slug variant of same article
https://theccpress.com/spot-bitcoin-etf-outflows-drove-bitcoins-recent-decline-citigroup-analysts-say/,3,pending_301,https://theccpress.com/citigroup-analysts-spot-bitcoin-etf-outflows-drove-bitcoin-recent-decline/,clear slug variant of same article
https://theccpress.com/strive-announces-daily-dividends-for-sata-stock-in-q1-earnings/,3,pending_301,https://theccpress.com/strive-announces-daily-dividends-sata-stock-q1-earnings/,clear slug variant of same article
https://theccpress.com/thorchain-reportedly-suffers-10m-exploit-affecting-cross-chain-assets/,3,pending_301,https://theccpress.com/thorchain-reportedly-suffers-10-million-exploit-affecting-assets-across-multiple-blockchains/,clear slug variant of same article
https://theccpress.com/tokenized-stocks-market-cap-tops-1-6b-as-ethereum-leads/,3,pending_301,https://theccpress.com/tokenized-stocks-market-cap-surpasses-1-6-billion-ethereum-41-1-share/,clear slug variant of same article
https://theccpress.com/whitebit-launches-whitebit-uk-for-the-uk-market/,3,pending_301,https://theccpress.com/whitebit-launches-whitebit-uk-dedicated-platform-uk-market/,clear slug variant of same article
https://theccpress.com/winklevoss-twins-inject-100-million-in-bitcoin-into-gemini-report/,3,pending_301,https://theccpress.com/winklevoss-twins-inject-100-million-bitcoin-into-gemini-report/,clear slug variant of same article
https://theccpress.com/xrp-market-capitalization-reaches-91-7-billion-as-altcoin-momentum-builds/,3,pending_301,https://theccpress.com/xrp-market-capitalization-reaches-91-7-billion/,clear slug variant of same article
